id_seccion;dia_semana;hora_inicio;hora_fin
1;LUNES;14:00;17:00
1;SABADO;14:00;16:00
2;VIERNES;08:00;10:00
2;MARTES;08:00;10:00
2;MIERCOLES;10:00;13:00
3;MIERCOLES;14:00;16:00
3;JUEVES;16:00;18:00
3;VIERNES;09:00;12:00
4;LUNES;09:00;12:00
4;VIERNES;16:00;19:00
5;MARTES;17:00;20:00
5;SABADO;09:00;12:00
6;VIERNES;09:00;12:00
7;LUNES;11:00;14:00
8;LUNES;19:00;21:00
8;JUEVES;09:00;12:00
8;VIERNES;16:00;19:00
9;SABADO;19:00;21:00
9;MIERCOLES;14:00;17:00
9;VIERNES;08:00;11:00
10;MIERCOLES;11:00;14:00
10;LUNES;19:00;22:00
11;MARTES;13:00;16:00
12;LUNES;13:00;16:00
12;MARTES;08:00;11:00
12;SABADO;19:00;21:00
13;VIERNES;16:00;18:00
13;MIERCOLES;19:00;21:00
13;LUNES;10:00;13:00
14;LUNES;18:00;20:00
14;MARTES;10:00;13:00
15;JUEVES;18:00;20:00
16;MARTES;13:00;15:00
16;LUNES;08:00;11:00
16;SABADO;10:00;13:00
17;MARTES;19:00;22:00
17;SABADO;08:00;10:00
18;SABADO;15:00;17:00
18;MIERCOLES;13:00;15:00
19;JUEVES;13:00;15:00
19;SABADO;17:00;20:00
20;MIERCOLES;09:00;11:00
21;VIERNES;10:00;13:00
21;JUEVES;09:00;11:00
21;MARTES;14:00;16:00
22;MIERCOLES;09:00;11:00
22;SABADO;15:00;17:00
23;SABADO;08:00;11:00
23;MIERCOLES;18:00;20:00
23;LUNES;15:00;17:00
24;LUNES;18:00;20:00
25;JUEVES;18:00;20:00
25;LUNES;13:00;16:00
25;MIERCOLES;11:00;14:00
26;JUEVES;19:00;22:00
27;JUEVES;16:00;18:00
28;LUNES;09:00;11:00
29;VIERNES;16:00;19:00
29;MARTES;13:00;15:00
29;MIERCOLES;18:00;21:00
30;MARTES;19:00;21:00
31;MIERCOLES;10:00;12:00
32;SABADO;08:00;11:00
33;VIERNES;09:00;12:00
34;VIERNES;10:00;13:00
35;MIERCOLES;14:00;17:00
35;MARTES;08:00;10:00
35;VIERNES;16:00;19:00
36;SABADO;17:00;20:00
36;MARTES;11:00;14:00
36;VIERNES;11:00;14:00
37;SABADO;08:00;10:00
37;MARTES;14:00;16:00
38;VIERNES;11:00;14:00
38;SABADO;11:00;13:00
38;MARTES;15:00;17:00
39;SABADO;18:00;21:00
39;MARTES;08:00;11:00
40;LUNES;11:00;14:00
40;SABADO;09:00;12:00
40;JUEVES;16:00;18:00
41;VIERNES;09:00;12:00
41;SABADO;19:00;22:00
41;MARTES;11:00;14:00
42;VIERNES;10:00;13:00
43;SABADO;18:00;20:00
44;MIERCOLES;09:00;12:00
45;LUNES;15:00;17:00
45;JUEVES;09:00;12:00
45;VIERNES;15:00;18:00
46;VIERNES;15:00;18:00
46;LUNES;17:00;20:00
46;MARTES;11:00;13:00
47;LUNES;09:00;12:00
47;JUEVES;15:00;18:00
47;MIERCOLES;15:00;18:00
48;MIERCOLES;18:00;21:00
49;MARTES;16:00;18:00
49;LUNES;15:00;17:00
49;SABADO;16:00;18:00
50;LUNES;11:00;14:00
50;MIERCOLES;19:00;22:00
50;VIERNES;10:00;13:00
51;LUNES;19:00;22:00
51;VIERNES;15:00;17:00
52;VIERNES;09:00;12:00
53;JUEVES;14:00;16:00
54;JUEVES;10:00;13:00
54;VIERNES;17:00;20:00
55;MARTES;18:00;20:00
56;SABADO;11:00;13:00
57;MIERCOLES;14:00;17:00
57;SABADO;08:00;10:00
58;LUNES;13:00;16:00
58;MARTES;11:00;13:00
59;SABADO;17:00;20:00
59;MIERCOLES;09:00;12:00
59;VIERNES;11:00;14:00
60;SABADO;09:00;12:00
60;JUEVES;15:00;17:00
60;VIERNES;10:00;12:00
61;MARTES;18:00;21:00
61;SABADO;17:00;20:00
62;JUEVES;10:00;13:00
63;MIERCOLES;16:00;18:00
64;VIERNES;19:00;21:00
65;JUEVES;08:00;10:00
65;LUNES;08:00;11:00
65;VIERNES;09:00;12:00
66;MARTES;15:00;18:00
66;JUEVES;11:00;14:00
66;MIERCOLES;14:00;17:00
67;VIERNES;18:00;21:00
67;SABADO;11:00;14:00
67;MARTES;16:00;19:00
68;SABADO;13:00;16:00
68;LUNES;17:00;19:00
69;JUEVES;14:00;17:00
69;MARTES;13:00;16:00
69;VIERNES;18:00;21:00
70;MIERCOLES;11:00;13:00
70;JUEVES;11:00;13:00
71;VIERNES;15:00;18:00
72;MARTES;16:00;18:00
72;VIERNES;08:00;10:00
